#Z     ATOM  POLARIZABILITY     TS      DFT3D           vdWradii    CovRadii
1       H      0.666793      	6.498	7.590		 1.10         0.32
2       He     0.204956	     	1.42	1.560		 1.40         0.37
3       Li     24.3 	     	1392	1163.450	 1.82	      1.30
4       Be     5.60 	     	227	257.490		 
5       B      3.03 	     	99.5	107.180		 
6       C      1.76 	     	46.6	49.110		 
7       N      1.10 	     	24.2	25.270		 
8       O      0.802	     	15.6	15.510		 
9       F      0.557	     	9.52	9.690		 
10      Ne     0.3956	     	6.38	6.290		 
11      Na     24.11	     	1518	1608.030	 
12      Mg     10.6	     	626	683.380		 
13      Al     6.8 	     	528	540.540		 
14      Si     5.38	     	305	317.860		 
15      P      3.63	     	185	191.690		 
16      S      2.90	     	134	134.010		 
17      Cl     2.18	     	94.6	92.350		 
18      Ar     1.641	     	64.2	64.650		 
19      K      43.4	     	3923	4983.500	 
20      Ca     22.8	     	2163	2352.690	 
21      Sc     17.8	     	1383	1522.470	 
22      Ti     14.6	     	1044	1361.920	 
23      V      12.4	     	832	1116.100	 
24      Cr     11.6	     	602	690.740		 
25      Mn     9.4 	     	552	802.750		 
26      Fe     8.4 	     	482	491.330		 
27      Co     7.5 	     	408	532.780		 
28      Ni     6.8 	     	373	574.740		 
29      Cu     6.2 	     	253	337.180		 
30      Zn     5.75	     	284	340.520		 
31      Ga     8.12	     	498	483.750		 
32      Ge     6.07	     	354	363.550		 
33      As     4.31	     	246	262.950		 
34      Se     3.77	     	210	213.670		 
35      Br     3.05	     	162	167.130		 
36      Kr     2.484	     	130	130.400		 
37      Rb     47.3 	     	4691	6138.780	 
38      Sr     27.6 	     	3175	3381.370	 
39      Y      22.7 	     	38.19	2365.890	 
40      Zr     17.9 	     	0.0	1822.720	 
41      Nb     15.7 	     	0.0	1475.250	 
42      Mo     12.8 	     	0.0	845.900		 
43      Tc     11.4 	     	0.0	1067.020	 
44      Ru     9.6  	     	0.0	598.200		 
45      Rh     8.6  	     	0.0	713.940		 
46      Pd     4.8  	     	0.0	608.500		 
47      Ag     7.2  	     	0.0	426.750		 
48      Cd     7.36 	     	0.0	468.190		 
49      In     10.2 	     	779	757.740		 
50      Sn     7.7  	     	659	627.570		 
51      Sb     6.6  	     	492	492.940		 
52      Te     5.5  	     	445	425.540		 
53      I      5.35 	     	385	351.970		 
54      Xe     4.044	     	286	290.220		 
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
	    
